Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla P100-PCIE-16GB (0)"
    Kernel: void force_kernel_plain<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)
        100                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100                        tex_fu_utilization                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100                    special_fu_utilization                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100             half_precision_fu_utilization              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
        100           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100           double_precision_fu_utilization            Double-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
        100                        flop_hp_efficiency                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
        100                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.05%       0.05%       0.05%
        100                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       1.79%       1.83%       1.81%
        100                   sysmem_read_utilization                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
        100                  sysmem_write_utilization                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
    Kernel: void force_kernel_memopt2<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)
        100                             inst_per_warp                                 Instructions per warp  6.5178e+03  6.5178e+03  6.5178e+03
        100                         branch_efficiency                                     Branch Efficiency      97.19%      97.19%      97.19%
        100                 warp_execution_efficiency                             Warp Execution Efficiency      93.45%      93.45%      93.45%
        100         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      93.40%      93.40%      93.40%
        100                      inst_replay_overhead                           Instruction Replay Overhead    0.000072    0.000171    0.000102
        100      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
        100     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
        100       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
        100      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
        100              gld_transactions_per_request                  Global Load Transactions Per Request   22.341210   22.341210   22.341210
        100              gst_transactions_per_request                 Global Store Transactions Per Request   31.998926   31.998926   31.998926
        100                 shared_store_transactions                             Shared Store Transactions           0           0           0
        100                  shared_load_transactions                              Shared Load Transactions           0           0           0
        100                   local_load_transactions                               Local Load Transactions         750         750         750
        100                  local_store_transactions                              Local Store Transactions         750         750         750
        100                          gld_transactions                              Global Load Transactions    35530344    35530344    35530344
        100                          gst_transactions                             Global Store Transactions      238328      238328      238328
        100                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
        100                 sysmem_write_transactions                      System Memory Write Transactions           5           5           5
        100                      l2_read_transactions                                  L2 Read Transactions    18838516    19019605    18930340
        100                     l2_write_transactions                                 L2 Write Transactions      239120      239209      239136
        100                    dram_read_transactions                       Device Memory Read Transactions     2381603     2393280     2387109
        100                   dram_write_transactions                      Device Memory Write Transactions      156918      162114      159526
        100                           global_hit_rate                                       Global Hit Rate      46.45%      46.99%      46.73%
        100                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
        100                  gld_requested_throughput                      Requested Global Load Throughput  493.64GB/s  497.37GB/s  495.44GB/s
        100                  gst_requested_throughput                     Requested Global Store Throughput  4.3323GB/s  4.3650GB/s  4.3474GB/s
        100                            gld_throughput                                Global Load Throughput  1291.7GB/s  1301.5GB/s  1296.4GB/s
        100                            gst_throughput                               Global Store Throughput  8.6646GB/s  8.7301GB/s  8.6948GB/s
        100                     local_memory_overhead                                 Local Memory Overhead       0.01%       0.01%       0.01%
        100                        tex_cache_hit_rate                                Unified Cache Hit Rate      46.22%      46.61%      46.41%
        100                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      86.79%      87.86%      87.36%
        100                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)      49.85%      49.86%      49.86%
        100                      dram_read_throughput                         Device Memory Read Throughput  86.770GB/s  87.504GB/s  87.099GB/s
        100                     dram_write_throughput                        Device Memory Write Throughput  5.7158GB/s  5.9232GB/s  5.8198GB/s
        100                      tex_cache_throughput                              Unified Cache Throughput  535.37GB/s  539.42GB/s  537.32GB/s
        100                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  687.92GB/s  693.79GB/s  690.78GB/s
        100                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  8.6918GB/s  8.7575GB/s  8.7228GB/s
        100                        l2_read_throughput                                 L2 Throughput (Reads)  687.72GB/s  695.13GB/s  690.73GB/s
        100                       l2_write_throughput                                L2 Throughput (Writes)  8.6942GB/s  8.7617GB/s  8.7246GB/s
        100                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   sysmem_write_throughput                        System Memory Write Throughput  190.61KB/s  192.05KB/s  0.00000B/s
        100                     local_load_throughput                          Local Memory Load Throughput  27.921MB/s  28.132MB/s  27.657MB/s
        100                    local_store_throughput                         Local Memory Store Throughput  27.921MB/s  28.132MB/s  27.657MB/s
        100                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        100                            gld_efficiency                         Global Memory Load Efficiency      38.22%      38.22%      38.22%
        100                            gst_efficiency                        Global Memory Store Efficiency      50.00%      50.00%      50.00%
        100                    tex_cache_transactions                            Unified Cache Transactions    14726020    14726020    14726020
        100                             flop_count_dp           Floating Point Operations(Double Precision)   501752704   501752704   501752704
        100                         flop_count_dp_add       Floating Point Operations(Double Precision Add)    47039316    47039316    47039316
        100                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)   172477492   172477492   172477492
        100                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)   109758404   109758404   109758404
        100                             flop_count_sp           Floating Point Operations(Single Precision)    31359544    31359544    31359544
        100                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
        100                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)    15679772    15679772    15679772
        100                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
        100                     flop_count_sp_special   Floating Point Operations(Single Precision Special)    15679772    15679772    15679772
        100                             inst_executed                                 Instructions Executed    24272136    24272136    24272136
        100                               inst_issued                                   Instructions Issued    24273886    24276286    24274569
        100                          dram_utilization                             Device Memory Utilization     Low (2)     Low (2)     Low (2)
        100                        sysmem_utilization                             System Memory Utilization     Low (1)     Low (1)     Low (1)
        100                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       1.64%       1.69%       1.66%
        100                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)      16.05%      16.40%      16.26%
        100                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      79.58%      79.95%      79.74%
        100                             stall_texture                         Issue Stall Reasons (Texture)       0.00%       0.01%       0.01%
        100                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
        100                               stall_other                           Issue Stall Reasons (Other)       1.41%       1.54%       1.48%
        100          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.02%       0.09%       0.04%
        100                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.49%       0.51%       0.50%
        100                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
        100                                inst_fp_32                               FP Instructions(Single)    62719088    62719088    62719088
        100                                inst_fp_64                               FP Instructions(Double)   344954984   344954984   344954984
        100                              inst_integer                                  Integer Instructions   143382080   143382080   143382080
        100                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
        100                              inst_control                             Control-Flow Instructions    47277648    47277648    47277648
        100                        inst_compute_ld_st                               Load/Store Instructions    47873464    47873464    47873464
        100                                 inst_misc                                     Misc Instructions    79233020    79233020    79233020
        100           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
        100                               issue_slots                                           Issue Slots    23735080    23737480    23735763
        100                                 cf_issued                      Issued Control-Flow Instructions     1621114     1621114     1621114
