Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "Tesla K40t (0)"
	Kernel: void force_kernel_plain<double4, double>(double4 const *, double4*, int, double, double, int const *, int const *, int const *)
        100                   sysmem_write_throughput            System Memory Write Throughput  0.00000B/s  21.725KB/s  7.6010KB/s
        100         warp_nonpred_execution_efficiency  Warp Non-Predicated Execution Efficiency      82.63%      82.63%      82.63%
        100                                 cf_issued          Issued Control-Flow Instructions     5525353     5529741     5527625
        100                               cf_executed        Executed Control-Flow Instructions     5276395     5276395     5276395
        100                               ldst_issued            Issued Load/Store Instructions   143522673   145892529   144098486
        100                             ldst_executed          Executed Load/Store Instructions     3679614     3679614     3679614
        100                             flop_count_sp  Floating Point Operations(Single Precisi           0           0           0
        100                         flop_count_sp_add  Floating Point Operations(Single Precisi           0           0           0
        100                         flop_count_sp_mul  Floating Point Operation(Single Precisio           0           0           0
        100                         flop_count_sp_fma  Floating Point Operations(Single Precisi           0           0           0
        100                             flop_count_dp  Floating Point Operations(Double Precisi   505327000   505327000   505327000
        100                         flop_count_dp_add  Floating Point Operations(Double Precisi    47039316    47039316    47039316
        100                         flop_count_dp_mul  Floating Point Operations(Double Precisi    97084520    97084520    97084520
        100                         flop_count_dp_fma  Floating Point Operations(Double Preciso   180601582   180601582   180601582
        100                     flop_count_sp_special  Floating Point Operations(Single Precisi    13567458    13567458    13567458
        100                          stall_inst_fetch  Issue Stall Reasons (Instructions Fetch)       0.53%       0.54%       0.54%
        100                     stall_exec_dependency  Issue Stall Reasons (Execution Dependenc       2.73%       2.77%       2.75%
        100                   stall_memory_dependency        Issue Stall Reasons (Data Request)      11.73%      13.15%      11.91%
        100                             stall_texture             Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
        100                                stall_sync     Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
        100                               stall_other               Issue Stall Reasons (Other)       0.59%       0.61%       0.60%
        100                     l1_shared_utilization              L1/Shared Memory Utilization     Low (1)     Low (1)     Low (1)
        100                            l2_utilization                      L2 Cache Utilization     Low (3)     Low (3)     Low (3)
        100                           tex_utilization                 Texture Cache Utilization    Idle (0)    Idle (0)    Idle (0)
        100                          dram_utilization                 Device Memory Utilization     Mid (6)     Mid (6)     Mid (6)
        100                        sysmem_utilization                 System Memory Utilization    Idle (0)     Low (1)    Idle (0)
        100                       ldst_fu_utilization      Load/Store Function Unit Utilization    High (7)    High (7)    High (7)
        100                        alu_fu_utilization      Arithmetic Function Unit Utilization     Low (1)     Low (1)     Low (1)
